InvoiceDate,daily_revenue,weekday,is_weekend,month,is_promotion,num_transactions
2010-12-01,54818.08,2,0,12,1,89
2010-12-02,47570.53,3,0,12,0,97
2010-12-03,41308.69,4,0,12,0,37
2010-12-04,0.0,5,1,12,0,0
2010-12-05,25853.2,6,1,12,0,69
2010-12-06,53322.12,0,0,12,1,79
2010-12-07,96860.63,1,0,12,1,61
2010-12-08,41354.56,2,0,12,0,93
2010-12-09,43993.63,3,0,12,0,78
2010-12-10,54282.61,4,0,12,1,49
2010-12-11,0.0,5,1,12,0,0
2010-12-12,13738.48,6,1,12,0,41
2010-12-13,37113.25,0,0,12,0,57
2010-12-14,42475.91,1,0,12,0,71
2010-12-15,30248.73,2,0,12,0,65
2010-12-16,47748.090000000004,3,0,12,0,95
2010-12-17,34357.25,4,0,12,0,34
2010-12-18,0.0,5,1,12,0,0
2010-12-19,6653.94,6,1,12,0,15
2010-12-20,23507.76,0,0,12,0,36
2010-12-21,37177.96,1,0,12,0,18
2010-12-22,5488.85,2,0,12,0,11
2010-12-23,10394.71,3,0,12,0,12
2010-12-24,0.0,4,0,12,0,0
2010-12-25,0.0,5,1,12,0,0
2010-12-26,0.0,6,1,12,0,0
2010-12-27,0.0,0,0,12,0,0
2010-12-28,0.0,1,0,12,0,0
2010-12-29,0.0,2,0,12,0,0
2010-12-30,0.0,3,0,12,0,0
2010-12-31,0.0,4,0,12,0,0
2011-01-01,0.0,5,1,1,0,0
2011-01-02,0.0,6,1,1,0,0
2011-01-03,0.0,0,0,1,0,0
2011-01-04,15478.52,1,0,1,0,33
2011-01-05,31243.29,2,0,1,0,43
2011-01-06,32429.45,3,0,1,0,41
2011-01-07,22656.7,4,0,1,0,38
2011-01-08,0.0,5,1,1,0,0
2011-01-09,14306.04,6,1,1,0,44
2011-01-10,20471.39,0,0,1,0,27
2011-01-11,61971.89,1,0,1,1,39
2011-01-12,21828.84,2,0,1,0,36
2011-01-13,18262.53,3,0,1,0,39
2011-01-14,17911.67,4,0,1,0,29
2011-01-15,0.0,5,1,1,0,0
2011-01-16,7242.06,6,1,1,0,22
2011-01-17,26239.46,0,0,1,0,40
